name2015,index,name2010
Atlanta-Sandy Springs-Roswell GA,1,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
Austin-Round Rock TX,2,"Austin-Round Rock-San Marcos, TX Metro Area"
Baltimore-Columbia-Towson MD,3,"Baltimore-Towson, MD Metro Area"
Birmingham-Hoover AL,4,"Birmingham-Hoover, AL Metro Area"
Boston-Cambridge-Newton MA-NH,5,"Boston-Cambridge-Quincy, MA-NH Metro Area"
Buffalo-Cheektowaga-Niagara Falls NY,6,"Buffalo-Niagara Falls, NY Metro Area"
Charlotte-Concord-Gastonia NC-SC,7,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area"
Chicago-Naperville-Elgin IL-IN-WI,8,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area"
Cincinnati OH-KY-IN,9,"Cincinnati-Middletown, OH-KY-IN Metro Area"
Cleveland-Elyria OH,10,"Cleveland-Elyria-Mentor, OH Metro Area"
Columbus OH,11,"Columbus, OH Metro Area"
Dallas-Fort Worth-Arlington TX,12,"Dallas-Fort Worth-Arlington, TX Metro Area"
Denver-Aurora-Lakewood CO,13,"Denver-Aurora-Broomfield, CO Metro Area"
Detroit-Warren-Dearborn MI,14,"Detroit-Warren-Livonia, MI Metro Area"
Hartford-West Hartford-East Hartford CT,15,"Hartford-West Hartford-East Hartford, CT Metro Area"
Houston-The Woodlands-Sugar Land TX,16,"Houston-Sugar Land-Baytown, TX Metro Area"
Indianapolis-Carmel-Anderson IN,17,"Indianapolis-Carmel, IN Metro Area"
Jacksonville FL,18,"Jacksonville, FL Metro Area"
Kansas City MO-KS,19,"Kansas City, MO-KS Metro Area"
Las Vegas-Henderson-Paradise NV,20,"Las Vegas-Paradise, NV Metro Area"
Los Angeles-Long Beach-Anaheim CA,21,"Los Angeles-Long Beach-Santa Ana, CA Metro Area"
Louisville/Jefferson County KY-IN,22,"Louisville/Jefferson County, KY-IN Metro Area"
Memphis TN-MS-AR,23,"Memphis, TN-MS-AR Metro Area"
Miami-Fort Lauderdale-West Palm Beach FL,24,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area"
Milwaukee-Waukesha-West Allis WI,25,"Milwaukee-Waukesha-West Allis, WI Metro Area"
Minneapolis-St. Paul-Bloomington MN-WI,26,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"
Nashville-Davidson--Murfreesboro--Franklin TN,27,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
New Orleans-Metairie LA,28,"New Orleans-Metairie-Kenner, LA Metro Area"
New York-Newark-Jersey City NY-NJ-PA,29,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area"
Oklahoma City OK,30,"Oklahoma City, OK Metro Area"
Orlando-Kissimmee-Sanford FL,31,"Orlando-Kissimmee-Sanford, FL Metro Area"
Philadelphia-Camden-Wilmington PA-NJ-DE-MD,32,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
Phoenix-Mesa-Scottsdale AZ,33,"Phoenix-Mesa-Glendale, AZ Metro Area"
Pittsburgh PA,34,"Pittsburgh, PA Metro Area"
Portland-Vancouver-Hillsboro OR-WA,35,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"
Providence-Warwick RI-MA,36,"Providence-New Bedford-Fall River, RI-MA Metro Area"
Raleigh NC,37,"Raleigh-Cary, NC Metro Area"
Richmond VA,38,"Richmond, VA Metro Area"
Riverside-San Bernardino-Ontario CA,39,"Riverside-San Bernardino-Ontario, CA Metro Area"
Sacramento--Roseville--Arden-Arcade CA,40,"Sacramento--Arden-Arcade--Roseville, CA Metro Area"
Salt Lake City UT,41,"Salt Lake City, UT Metro Area"
San Antonio-New Braunfels TX,42,"San Antonio-New Braunfels, TX Metro Area"
San Diego-Carlsbad CA,43,"San Diego-Carlsbad-San Marcos, CA Metro Area"
San Francisco-Oakland-Hayward CA,44,"San Francisco-Oakland-Fremont, CA Metro Area"
San Jose-Sunnyvale-Santa Clara CA,45,"San Jose-Sunnyvale-Santa Clara, CA Metro Area"
Seattle-Tacoma-Bellevue WA,46,"Seattle-Tacoma-Bellevue, WA Metro Area"
St. Louis MO-IL,47,"St. Louis, MO-IL Metro Area"
Tampa-St. Petersburg-Clearwater FL,48,"Tampa-St. Petersburg-Clearwater, FL Metro Area"
Virginia Beach-Norfolk-Newport News VA-NC,49,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
Washington-Arlington-Alexandria DC-VA-MD-WV,50,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"